Occupation Code,Occupation Name,Location,Employment,Annual mean wage,Annual median wage
131141,"Compensation, Benefits, and Job Analysis Specialists","Charlotte-Concord-Gastonia, NC-SC",880,68810,62480
131161,Market Research Analysts and Marketing Specialists,"Charlotte-Concord-Gastonia, NC-SC",8240,62000,57050
132031,Budget Analysts,"Charlotte-Concord-Gastonia, NC-SC",170,71760,70610
132041,Credit Analysts,"Charlotte-Concord-Gastonia, NC-SC",2040,83820,74980
132051,Financial Analysts,"Charlotte-Concord-Gastonia, NC-SC",5090,89880,82850
151121,Computer Systems Analysts,"Charlotte-Concord-Gastonia, NC-SC",10520,94200,92440
151122,Information Security Analysts,"Charlotte-Concord-Gastonia, NC-SC",2360,104800,104890
151141,Database Administrators,"Charlotte-Concord-Gastonia, NC-SC",1100,94210,96140
152011,Actuaries,"Charlotte-Concord-Gastonia, NC-SC",190,124590,118050
152031,Operations Research Analysts,"Charlotte-Concord-Gastonia, NC-SC",1300,78200,72150
152041,Statisticians,"Charlotte-Concord-Gastonia, NC-SC",120,84760,82450
