Occupation Code,Occupation Name,Location,Employment,Annual mean wage,Annual median wage
131141,"Compensation, Benefits, and Job Analysis Specialists",National,80530,67160,62680
131161,Market Research Analysts and Marketing Specialists,National,596450,71450,63230
132031,Budget Analysts,National,54550,78680,75240
132041,Credit Analysts,National,74850,82900,71290
132051,Financial Analysts,National,294110,99430,84300
151121,Computer Systems Analysts,National,581960,92740,88270
151122,Information Security Analysts,National,105250,99690,95510
151141,Database Administrators,National,113690,89050,87020
152011,Actuaries,National,19210,114850,101560
152031,Operations Research Analysts,National,106050,86510,81390
152041,Statisticians,National,36540,88980,84060
