Occupation Code,Occupation Name,Location,Employment,Annual mean wage,Annual median wage
131141,"Compensation, Benefits, and Job Analysis Specialists",North Carolina,2420,66660,61510
131161,Market Research Analysts and Marketing Specialists,North Carolina,16680,70890,62900
132031,Budget Analysts,North Carolina,1100,70780,68780
132041,Credit Analysts,North Carolina,3120,83900,74640
132051,Financial Analysts,North Carolina,8690,87900,80100
151121,Computer Systems Analysts,North Carolina,25000,92140,89360
151122,Information Security Analysts,North Carolina,4090,100650,98500
151141,Database Administrators,North Carolina,2730,89120,90430
152011,Actuaries,North Carolina,340,113570,108910
152031,Operations Research Analysts,North Carolina,2570,78020,71340
152041,Statisticians,North Carolina,1330,101610,96260
