Occupation Code,Occupation Name,Location,Employment,Annual mean wage,Annual median wage
131141,"Compensation, Benefits, and Job Analysis Specialists","Raleigh, NC",350,67090,64550
131161,Market Research Analysts and Marketing Specialists,"Raleigh, NC",3990,76830,65750
132031,Budget Analysts,"Raleigh, NC",290,68130,64370
132041,Credit Analysts,"Raleigh, NC",240,88520,78730
132051,Financial Analysts,"Raleigh, NC",1080,90700,80160
151121,Computer Systems Analysts,"Raleigh, NC",7090,92950,87970
151122,Information Security Analysts,"Raleigh, NC",540,98510,96110
151141,Database Administrators,"Raleigh, NC",490,98990,102430
152031,Operations Research Analysts,"Raleigh, NC",340,76070,71320
152041,Statisticians,"Raleigh, NC",360,112860,109620
