NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
115100,Support Activities for Crop Production,15-1141,Database Administrators,detailed,70,18.2,0.02,~,42.48,"88,350",10.5,19.03,27.97,35.58,47.87,70.62,"39,590","58,170","74,020","99,570","146,890",,,2015
115200,Support Activities for Animal Production,13-1161,Market Research Analysts and Marketing Specialists,detailed,90,33.6,0.29,1,27.31,"56,810",10,14.34,20.05,23.09,32.54,43.39,"29,830","41,690","48,030","67,690","90,250",,,2015
211100,Oil and Gas Extraction,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,230,10.2,0.12,1,35.78,"74,420",3.4,20.04,25.07,33.54,42.44,56.09,"41,680","52,140","69,750","88,280","116,660",,,2015
211100,Oil and Gas Extraction,13-1161,Market Research Analysts and Marketing Specialists,detailed,370,12.9,0.19,2,45.12,"93,840",5.2,21.31,30.15,43.03,61.06,73.51,"44,320","62,700","89,510","127,000","152,900",,,2015
211100,Oil and Gas Extraction,13-2031,Budget Analysts,detailed,80,22.1,0.04,~,40.74,"84,740",5.9,24.55,29.1,39.22,49.62,62.35,"51,060","60,520","81,570","103,210","129,690",,,2015
211100,Oil and Gas Extraction,13-2051,Financial Analysts,detailed,"1,620",10.4,0.84,3,48.37,"100,600",2.3,26.73,33.44,43.67,58.23,75.71,"55,600","69,560","90,840","121,110","157,470",,,2015
211100,Oil and Gas Extraction,15-1121,Computer Systems Analysts,detailed,"3,680",17.5,1.9,2,50.78,"105,620",4.1,26.08,34.97,46.73,61.03,78.9,"54,240","72,750","97,200","126,950","164,110",,,2015
211100,Oil and Gas Extraction,15-1122,Information Security Analysts,detailed,250,14.8,0.13,1,43.88,"91,280",2.8,26.85,34.37,42.93,53.43,63.4,"55,860","71,500","89,300","111,130","131,870",,,2015
211100,Oil and Gas Extraction,15-1141,Database Administrators,detailed,330,10.1,0.17,1,42.47,"88,330",2.6,22.06,30.69,41.8,54.14,62.96,"45,880","63,840","86,940","112,610","130,950",,,2015
211100,Oil and Gas Extraction,15-2031,Operations Research Analysts,detailed,150,12.5,0.08,~,43.12,"89,700",5.9,24.63,31.05,37.9,51.16,69.65,"51,230","64,580","78,840","106,410","144,870",,,2015
